"job_id","job_title","company_name","yearly_salary","job_location","job_posted_date"
1642893,"Staff Applied Research Engineer","ServiceNow","177283.0","Hyderabad, Telangana, India","2023-06-28"
283661,"Technical Data Architect - Healthcare","Srijan Technologies","165000.0","Gurugram, Haryana, India","2023-05-10"
954793,"Data Architect 2023","Bosch Group","165000.0","Bengaluru, Karnataka, India","2023-01-12"
1041666,"Data Architect - Data Migration","Bosch Group","165000.0","Bengaluru, Karnataka, India","2023-05-06"
406320,"Data Architect","Eagle Genomics Ltd","163782.0","Hyderabad, Telangana, India","2023-02-07"
781346,"Data Architect","Eagle Genomics Ltd","163782.0","Hyderabad, Telangana, India","2023-07-06"
325402,"Senior Business & Data Analyst","Deutsche Bank","119250.0","India","2023-11-21"
908967,"Sr. Enterprise Data Analyst","ACA Group","118140.0","India","2023-12-21"
1122466,"Data Analyst","Spotify","111175.0","Mumbai, Maharashtra, India","2023-06-20"
1498936,"Data Analyst","DoorDash","111175.0","Pune, Maharashtra, India","2023-07-07"
