"skills","number_of_jobs","average_annual_salary"
"sql","46","92984"
"excel","39","88519"
"python","36","95933"
"tableau","20","95103"
"r","18","86609"
"power bi","17","109832"
"azure","15","98570"
"aws","12","95333"
"spark","11","118332"
"oracle","11","104260"
"powerpoint","10","102678"
"looker","10","98815"
"word","10","83266"
"mongodb","6","135994"
"flow","6","104751"
"hadoop","5","113276"
"redshift","5","101315"
"sql server","5","89120"
"pandas","4","122463"
"snowflake","4","111213"
"go","4","109133"
"sap","4","105044"
"databricks","3","135994"
"scala","3","135994"
"express","3","109333"
