"website_name","average_salary","number_of_jobs"
"via LinkedIn",83752,18480
"via Indeed",77932,4444
"via Ai-Jobs.net",113113,581
"via Jooble",64600,293
"via BeBee",71250,191
"via ZipRecruiter",86663,90
"via Wellfound",140000,79
"via Dice",86111,50
"via Talent.com",100150,38
"via Ladders",105782,19
"via Built In",104770,7
"via Professional Diversity Network",113770,5
"via JobServe",76520,4
"via IT JobServe",77490,3
"via SonicJobs",50000,3
"via Infosec-Jobs.com",120180,2
"via ComputerJobs",77500,2
